permit_no;date;address;type;work;entity;start;end;lnblock
 29744;05/28/2015;345 Dudley Rd;Annual General Permit;Maintenance;Kentucky American Water;05/30/2015;06/20/2015;No
 29745;05/28/2015;343 Waller Ave;Annual General Permit;Maintenance;Kentucky American Water;05/30/2015;06/20/2015;No
 29746;05/28/2015;3900 Sundart Dr;Annual General Permit;Maintenance;Kentucky American Water;05/30/2015;06/20/2015;No
 29747;05/28/2015;232 Waller Ave;Installation;Add/Change Equipment;Kentucky American Water;05/30/2015;06/21/2015;No
 29748;05/28/2015;2420 Richmond Rd;Annual General Permit;Add/Change Equipment;Columbia Gas;06/08/2015;06/29/2015;No
 29749;05/28/2015;112 Conn Ter;Street Cut;Add/Change Equipment;Kentucky American Water;05/20/2015;06/10/2015;No
 29750;05/28/2015;850 Angliana Ave;Street Cut;Maintenance;Kentucky American Water;05/21/2015;06/11/2015;Yes
 29751;05/28/2015;500 Shropshire Ave;Installation;New Construction;Kentucky Utilities;06/05/2015;06/30/2015;No
 29752;05/28/2015;;Annual General Permit;Maintenance;Windstream Communications;05/26/2015;06/16/2015;No
 29753;05/28/2015;1609 Hastings Ct;Street Cut;Maintenance;Kentucky American Water;05/25/2015;06/15/2015;Yes
 29754;05/28/2015;527 E Second St;Street Cut;Maintenance;Kentucky American Water;05/24/2015;06/14/2015;Yes
 29755;05/28/2015;1949 Nicholasville Rd;Installation;New Construction;Kentucky American Water;06/29/2015;07/29/2015;No
 29756;05/28/2015;415 Woodland Ave;Street Cut;Repair;LFUCG-San Sewers (Water Quality);05/27/2015;07/08/2015;Yes
 29757;05/28/2015;760 Enterprise Dr;Annual General Permit;Maintenance;Time Warner Cable, Inc.;05/26/2015;06/16/2015;No
 29758;05/28/2015;415 W Second St;Street Cut;New Construction;Columbia Gas;06/08/2015;10/08/2015;Yes
 29759;05/28/2015;420-474 W Second St;Street Cut;New Construction;Columbia Gas;06/08/2015;10/08/2015;Yes
 29760;05/28/2015;475-487 W Second St;Street Cut;New Construction;Columbia Gas;06/08/2015;10/08/2015;Yes
 29761;05/28/2015;2133 Call Dr;Installation;Add/Change Equipment;Kentucky American Water;06/06/2015;06/27/2015;No
 29762;05/28/2015;3050 Kirklevington Dr;Installation;New Construction;Kentucky American Water;06/28/2015;07/27/2015;No
 29738;05/28/2015;1177 Bay Meadows Dr;Annual General Permit;New Construction;Columbia Gas;06/03/2015;06/24/2015;No
 29739;05/28/2015;1838 Rachels Run;Installation;New Construction;Columbia Gas;06/03/2015;06/24/2015;No
 29740;05/28/2015;131 Prosperous Pl;Annual General Permit;Maintenance;Kentucky American Water;05/30/2015;06/20/2015;No
 29741;05/28/2015;2461 Millbrook Dr;Annual General Permit;Maintenance;Kentucky American Water;05/30/2015;06/20/2015;No
 29742;05/28/2015;500 E Third St;Street Cut;Repair;Columbia Gas;05/20/2015;06/10/2015;Yes
 29736;05/28/2015;4149 Palmetto Dr;Street Cut;Maintenance;Contractor;06/05/2015;07/31/2015;Yes
 29737;05/28/2015;4185 Palmetto Dr;Street Cut;Maintenance;Contractor;06/05/2015;07/31/2015;Yes
 29763;05/28/2015;916 N Broadway;Installation;Add/Change Equipment;Kentucky American Water;06/05/2015;06/26/2015;No
 29731;05/27/2015;245-357 Manitoba Ln;Installation;New Construction;Delta Gas;05/27/2015;06/27/2015;No
 29732;05/27/2015;;Installation;New Construction;Delta Gas;05/27/2015;06/27/2015;No
 29729;05/27/2015;916 N Broadway;Street Cut;New Construction;Kentucky American Water;06/01/2015;07/01/2015;Yes
 29730;05/27/2015;1004 Tatesbrook Dr;Annual General Permit;Repair;Columbia Gas;05/19/2015;05/26/2015;No
 29693;05/27/2015;107 Eastin Rd;Street Cut;Repair;Columbia Gas;06/10/2015;07/01/2015;Yes
 29694;05/27/2015;1715 Fairway Dr;Annual General Permit;Repair;Columbia Gas;06/11/2015;07/01/2015;No
 29695;05/27/2015;304 Holiday Rd;Annual General Permit;Repair;Columbia Gas;05/28/2015;06/18/2015;No
 29696;05/27/2015;411 Henry Clay Blvd;Annual General Permit;Repair;Columbia Gas;05/28/2015;06/18/2015;No
 29697;05/27/2015;1633 Clayton Ave;Annual General Permit;Repair;Columbia Gas;05/28/2015;06/18/2015;No
 29698;05/27/2015;249 St Margaret Dr;Installation;Repair;Columbia Gas;06/05/2015;06/26/2015;No
 29699;05/27/2015;130 St James Dr;Annual General Permit;Repair;Columbia Gas;06/05/2015;06/26/2015;No
 29700;05/27/2015;Appletree Ln;Street Cut;Repair;Columbia Gas;05/29/2015;06/19/2015;Yes
 29701;05/27/2015;;Street Cut;Repair;Columbia Gas;06/16/2015;07/07/2015;No
 29702;05/27/2015;417 Queensway Dr;Installation;Repair;Columbia Gas;06/09/2015;06/30/2015;No
 29703;05/27/2015;437 Kingswood;Installation;Repair;Columbia Gas;06/09/2015;06/30/2015;No
 29704;05/27/2015;1689 Margate Dr;Annual General Permit;Repair;Columbia Gas;06/16/2015;07/07/2015;No
 29705;05/27/2015;2320 Palumbo Dr;Installation;Repair;Columbia Gas;05/28/2015;06/18/2015;No
